date,label,open,high,low,close,volume
9/19/2019 0:00,ETH/USD,210.9,224.79,202.2,221.47,31101252.97
9/18/2019 0:00,ETH/USD,208.41,218,208.41,210.9,21394277.51
9/17/2019 0:00,ETH/USD,198.29,215.82,196.6,208.41,22464900.33
9/16/2019 0:00,ETH/USD,189.64,200.74,188.83,198.29,21338180.77
9/15/2019 0:00,ETH/USD,189.05,191.37,186.45,189.64,6750122.49
9/14/2019 0:00,ETH/USD,181.65,189.76,180.44,189.05,12034990.97
9/13/2019 0:00,ETH/USD,181.35,182.2,178,181.65,5921821.85
9/12/2019 0:00,ETH/USD,178.55,183.09,177,181.35,5681199.33
9/11/2019 0:00,ETH/USD,180.24,182.91,174.37,178.55,8884916.19
9/10/2019 0:00,ETH/USD,180.8,184.5,175.84,180.24,7213307.12
9/9/2019 0:00,ETH/USD,181.96,186.57,176.37,180.8,12076552.75
9/8/2019 0:00,ETH/USD,178.41,184.9,177.1,181.96,11854166.85
9/7/2019 0:00,ETH/USD,169.35,181.39,168.6,178.41,10960605.11
9/6/2019 0:00,ETH/USD,174.03,178.45,165.3,169.35,10745250.55
9/5/2019 0:00,ETH/USD,175.1,175.92,169.67,174.03,10350517.12
9/4/2019 0:00,ETH/USD,179.39,180.78,173.7,175.1,8351712.43
9/3/2019 0:00,ETH/USD,178.7,183.29,173.56,179.39,14258049.01
9/2/2019 0:00,ETH/USD,171.25,181.69,170.55,178.7,9868420.62
9/1/2019 0:00,ETH/USD,172.13,173.99,168.33,171.25,7247952.27
8/31/2019 0:00,ETH/USD,168.63,175.43,166.1,172.13,7155996.37
8/30/2019 0:00,ETH/USD,169.15,170.82,166.01,168.63,5182151.34
8/29/2019 0:00,ETH/USD,173.21,174.2,164.12,169.15,10322170.75
8/28/2019 0:00,ETH/USD,187.28,188.62,165.85,173.21,19624179.16
8/27/2019 0:00,ETH/USD,188.73,189.24,184.39,187.28,4680569.73
8/26/2019 0:00,ETH/USD,186.31,194.26,186.2,188.73,9287555.3
8/25/2019 0:00,ETH/USD,191.04,193.03,183.06,186.31,8973820.24
8/24/2019 0:00,ETH/USD,194.77,194.78,186.19,191.04,7324878.61
8/23/2019 0:00,ETH/USD,190.69,196.62,188.54,194.77,7349344.42
8/22/2019 0:00,ETH/USD,187.51,195.48,183.25,190.69,10244477.36
8/21/2019 0:00,ETH/USD,196.67,197.5,180,187.51,16853593.72
8/20/2019 0:00,ETH/USD,202.66,203.26,195.04,196.67,9214391.16
8/19/2019 0:00,ETH/USD,194.9,203.95,193,202.66,12587299.08
8/18/2019 0:00,ETH/USD,185.81,198.31,183.53,194.9,9650890.82
8/17/2019 0:00,ETH/USD,185.61,187.32,182.2,185.81,5576668.94
8/16/2019 0:00,ETH/USD,188.43,188.58,178.59,185.61,10346010.99
8/15/2019 0:00,ETH/USD,187.28,189.94,174.2,188.43,18852478.81
8/14/2019 0:00,ETH/USD,209.25,210.08,182.8,187.28,21999724.74
8/13/2019 0:00,ETH/USD,211.61,211.93,204,209.25,9364615.94
8/12/2019 0:00,ETH/USD,217,217.47,210.16,211.61,9883566.23
8/11/2019 0:00,ETH/USD,206.57,217.33,206.21,217,12508594.18
8/10/2019 0:00,ETH/USD,210.76,215,200.68,206.57,10581960.93
8/9/2019 0:00,ETH/USD,222.04,222.42,207.29,210.76,18195958.61
8/8/2019 0:00,ETH/USD,226.35,227.5,215.52,222.04,14935615.6
8/7/2019 0:00,ETH/USD,226,231.44,221.26,226.35,13361705.24
8/6/2019 0:00,ETH/USD,233.62,240,223.05,226,27557262.81
8/5/2019 0:00,ETH/USD,222.41,237.31,222.18,233.62,35625629.42
8/4/2019 0:00,ETH/USD,222,223.75,217.22,222.41,7447432.63
8/3/2019 0:00,ETH/USD,217.56,225.69,216.66,222,10177013.11
8/2/2019 0:00,ETH/USD,217.56,222.85,215,217.56,11426031.51
8/1/2019 0:00,ETH/USD,218.76,219.5,210.85,217.56,9317509.99
7/31/2019 0:00,ETH/USD,209.74,219.29,209.7,218.76,12640491.3
7/30/2019 0:00,ETH/USD,210.81,215,203.47,209.74,9897915.82
7/29/2019 0:00,ETH/USD,210.92,215.04,206.09,210.81,8981256.1
7/28/2019 0:00,ETH/USD,207.07,213.35,197.7,210.92,13773745.18
7/27/2019 0:00,ETH/USD,219.06,223.62,202.2,207.07,23662492.9
7/26/2019 0:00,ETH/USD,219.44,220.47,212.91,219.06,11399111.81
7/25/2019 0:00,ETH/USD,216.71,225.66,215.61,219.44,16655430.11
7/24/2019 0:00,ETH/USD,212.34,218.61,201.11,216.71,26810551.29
7/23/2019 0:00,ETH/USD,217.38,219.39,208.5,212.34,18723660.3
7/22/2019 0:00,ETH/USD,225.04,228,211.78,217.38,19668677.88
7/21/2019 0:00,ETH/USD,228.44,229.51,216.45,225.04,18623204.11
7/20/2019 0:00,ETH/USD,221.16,235.27,219.73,228.44,20087423.68
7/19/2019 0:00,ETH/USD,225.74,226.34,213.19,221.16,17592674.06
7/18/2019 0:00,ETH/USD,211.06,229.1,205.61,225.74,36746109.73
7/17/2019 0:00,ETH/USD,198.57,219.47,191.6,211.06,42755827.37
7/16/2019 0:00,ETH/USD,227.71,233.79,191,198.57,64929817.64
7/15/2019 0:00,ETH/USD,226.19,234.77,202.81,227.71,64798224.44
7/14/2019 0:00,ETH/USD,268.07,268.59,222.58,226.19,52412815.15
7/13/2019 0:00,ETH/USD,274.73,274.97,260.69,268.07,15498184
7/12/2019 0:00,ETH/USD,268.38,279.02,266.28,274.73,11481438.28
7/11/2019 0:00,ETH/USD,288.71,288.72,261.1,268.38,40078901.09
7/10/2019 0:00,ETH/USD,307.85,316.5,278.86,288.71,43243747.64
7/9/2019 0:00,ETH/USD,313.39,318.3,302.69,307.85,29605841.59
7/8/2019 0:00,ETH/USD,306.54,315.27,302.54,313.39,35332800.21
7/7/2019 0:00,ETH/USD,288.61,311,284.43,306.54,32830180.46
7/6/2019 0:00,ETH/USD,287.95,298.87,285.68,288.61,20428661.28
7/5/2019 0:00,ETH/USD,283.19,295.28,281.25,287.95,15527024.03
7/4/2019 0:00,ETH/USD,302.22,303.5,280.25,283.19,23630016.28
7/3/2019 0:00,ETH/USD,292.94,303.4,289.78,302.22,35589302.96
7/2/2019 0:00,ETH/USD,295.5,299.03,272.65,292.94,42134488.15
7/1/2019 0:00,ETH/USD,290.8,302.47,281,295.5,39658971.14
6/30/2019 0:00,ETH/USD,317.42,324.45,286.76,290.8,47540998.51
6/29/2019 0:00,ETH/USD,308.87,325.12,291.82,317.42,39983886.41
6/28/2019 0:00,ETH/USD,294.86,312,290,308.87,58695478.78
6/27/2019 0:00,ETH/USD,332,341,275.6,294.86,131706375.3
6/26/2019 0:00,ETH/USD,316.49,363.3,313.13,332,191428189.5
6/25/2019 0:00,ETH/USD,311.7,317.84,304.83,316.49,39203374.98
6/24/2019 0:00,ETH/USD,308.56,314.6,292.09,311.7,88541415.54
6/23/2019 0:00,ETH/USD,311.25,322,305.95,308.56,65485577.63
6/22/2019 0:00,ETH/USD,295.83,315.85,292.99,311.25,89803391.95
6/21/2019 0:00,ETH/USD,272.82,297.71,272.82,295.83,68424380.25
6/20/2019 0:00,ETH/USD,269.52,275,267.18,272.82,17508967.2
6/19/2019 0:00,ETH/USD,264.87,270.83,264.16,269.52,14341780.64
6/18/2019 0:00,ETH/USD,274,274.76,260.01,264.87,28619744
6/17/2019 0:00,ETH/USD,268.63,276.09,267.61,274,18808690.89
6/16/2019 0:00,ETH/USD,269.12,279.48,264.01,268.63,49368599.11
6/15/2019 0:00,ETH/USD,263.69,273.5,261.73,269.12,28794038.3
6/14/2019 0:00,ETH/USD,254.61,265.87,248.48,263.69,59135224.23
6/13/2019 0:00,ETH/USD,262.75,264.66,253.43,254.61,30462029.29
6/12/2019 0:00,ETH/USD,245.1,263.8,243.05,262.75,45707331.98
6/11/2019 0:00,ETH/USD,248.11,248.9,237.5,245.1,19070221.88
6/10/2019 0:00,ETH/USD,231.3,248.6,227.45,248.11,26923325.89
